No.,Buggy_Trip_Plural_Evaluator1,Buggy_Trip_Plural_Evaluator2,Buggy_Trip_Plural_Consistent,Translation_Label_Evaluator1,Translation_Label_Evaluator2,Translation_Label_Consistent,Bug_Type_Evaluator1,Bug_Type_Evaluator2,Bug_Type_Consistent,Source_Sentence,Source_Regex,Intermediate_Sentence,Translated_Sentence,Translated_Regex,LEVEN,LEVEN_Norm,Dep_Distance,DEP,DEP_Norm,SBERT,SBERT_Norm,BLEU,BLEU_Norm,REG,REG_Norm,DFA_Raw,DFA,DFA_Norm,HYB,HYB_Norm
1,c,,None,correct,correct,correct,,,,lines not ending with the string <M0> in front of a character,~ ( ( ( . * ) ( <M0> ) ) . * ( . ) . * ),不以字符前面的字符串<M0>结尾的行,lines that do not end with the string <M0> before the character,~ ( ( ( . * ) ( <M0> ) ) . * ( <M0> ) . * ),0.666666667,0.628299895,8,0.6521739129999999,0.578947369,0.979952192,0.944286622,0.6770203859999999,0.5854821179999999,0.947368421,0.939849624,-1.0,0.0,0.0,0.473684211,0.43859649100000003
2,p,plural,p,bug,bug,bug,,,,lines with a vowel or a lower-case letter before digits,( ( [ <VOW> ] ) | ( [ <LOW> ] ) ) . *( [ <NUM> ] ) + . *,在数字前加上元音或小写字母的行,lines with vowels or lowercase letters before numbers,( ( [ <VOW> ] ) + | ( [ <LET> ] ) ) . * ( [ <NUM> ] ) + . *,0.763636364,0.746568111,4,0.826086957,0.789473685,0.954308391,0.86456342,0.6766810959999999,0.585003366,0.8888888890000001,0.8730158729999999,0.428571,0.428571,0.428571,0.658729944,0.6359786070000001
3,c,,None,correct,correct,correct,,,,"lines having either the string <M0> , a vowel , or the string <M1> before letters",( ( <M0> ) | ( [ <VOW> ] ) | ( <M1> ) ) . *( [ <LET> ] ) + . *,在字母前具有字符串<M0>，元音或字符串<M1>的行,"lines with string <M0> , vowel or string <M1> before the letter","( ( <M0> ) { 3 , } ) . * ( <M0> ) . *",0.666666667,0.628299895,10,0.565217391,0.47368421,0.9824413000000001,0.952024931,0.67662923,0.584930181,0.523809524,0.455782313,0.0,0.0,0.0,0.261904762,0.212698413
4,p,plural,p,bug,bug,bug,,,,lines with a character followed by a number,. . * [ <NUM> ] . *,字符后跟数字的行,line of characters followed by numbers,. * . . * [ <NUM> ] . * . *,0.744186047,0.7228457070000001,2,0.913043478,0.894736842,0.948297673,0.8458768879999999,0.676575151,0.584853873,0.6,0.542857143,1.0,1.0,1.0,0.8,0.786666667
5,BW,BW,BW,bug,bug,bug,Under-translation,affiliation,under-translation,lines with the string <M0> before the string <M1> and not a lower-case letter,( ( <M0> ) . * ( <M1> ) . * ) & ( ~ ( [ <LOW> ] ) ),在字符串<M1>之前的字符串<M0>而不是小写字母的行,the line <M0> before the string <M1> instead of the line of lowercase letters,( ( <M0> ) . * ( <M1> ) . * ) & ( ( <M1> ) * ),0.558441558,0.49630411799999996,8,0.6521739129999999,0.578947369,0.95513342,0.8671283259999999,0.676537308,0.584800475,0.842105263,0.819548872,0.0,0.0,0.0,0.42105263200000004,0.38245614
6,c,,None,correct,correct,correct,,,,lines not having letters and not a capitalized letter,~ (( [ <LET> ] ) + & ( [ <CAP> ] ) ),行没有字母且不是大写字母,lines have no letters and are not capital letters,( ( [ <LET> ] ) + & ( ~ ( [ <LET> ] ) + ) ),0.660377358,0.620629196,2,0.913043478,0.894736842,0.963629051,0.893540125,0.6765067029999999,0.58475729,0.571428571,0.510204082,0.0,0.0,0.0,0.28571428600000004,0.23809523800000001
7,p,plural,p,bug,bug,bug,,,,"lines having either the string <M0> , a numeric character , or a character before an upper case letter",( ( <M0> ) | ( [ <NUM> ] ) | ( . ) ) . * ( [ <CAP> ] ) . *,具有字符串<M0>，数字字符或大写字母前面的字符的行,"lines with the character string <M0> , numeric characters , or characters before capital letters",( ( <M0> ) | ( . ) + | ( . ) + ) . * ( [ <LET> ] ) + . *,0.68627451,0.652214424,10,0.565217391,0.47368421,0.927020615,0.779729315,0.676278197,0.584434859,0.7826086959999999,0.751552795,0.795104,0.795104,0.795104,0.7888563479999999,0.7747801040000001
8,p,plural,p,bug,bug,bug,,,,strings with words that end with the string <M0> or a character,\ b ( . * ) ( ( <M0> ) | ( . ) ) \ b,字符串以<M0>或字符结尾的单词的字符串,a string of words whose string ends with <M0> or characters,~ ( ( . * ) ( ( [ <NUM> ] ) | ( . ) + ) ),0.5555555560000001,0.492784231,3,0.869565217,0.842105263,0.982575874,0.9524433040000001,0.6762478479999999,0.584392035,0.705882353,0.663865546,9.563393000000001e-05,9.563389999999999e-05,9.563389999999999e-05,0.352988993,0.30985492600000003
9,p,plural,p,bug,bug,bug,,,,lines made up of a character and the string <M0> followed by letters,. * ( . ) & ( <M0> . * [ <LET> ] . * ) . *,由字符和字符串<M0>后跟字母组成的行,line consisting of characters and character string <M0> followed by letters,. * ( . ) + & ( <M0> . * [ <LET> ] . * ) . *,0.72,0.693347413,6,0.739130435,0.6842105270000001,0.975195025,0.9294972159999999,0.676160448,0.58426871,0.9411764709999999,0.9327731090000001,1.0,1.0,1.0,0.970588235,0.9686274509999999
10,c,,None,correct,correct,correct,,,,"rows having either a vowel , a number , or the string <M0> in front of the string <M1>",( ( [ <VOW> ] ) | ( [ <NUM> ] ) | ( <M0> ) ) . * ( <M1> ) . *,在字符串<M1>前面具有元音，数字或字符串<M0>的行,"line with vowel , number or string <M0> in front of the string <M1>",( ( [ <VOW> ] ) | ( <M0> ) ) . * ( <M1> ) . *,0.744186047,0.7228457070000001,9,0.608695652,0.52631579,0.9464597809999999,0.840163124,0.6761564790000001,0.58426311,0.8,0.771428571,0.0,0.0,0.0,0.4,0.36
11,c,,None,correct,correct,correct,,,,"lines containing a character , 6 or more times",". * ( . ) { 6 , } . *",包含一个字符的行，至少6次,"line containing one character , at least 6 times","( . * . . * ) { 3 , }",0.729166667,0.7045274559999999,8,0.6521739129999999,0.578947369,0.896119298,0.683661187,0.676089477,0.5841685670000001,0.25,0.14285714300000002,0.0,0.0,0.0,0.125,0.066666667
12,c,,None,correct,correct,correct,,,,lines containing a lower-case letter at least one time in front of a character,. * ( ( [ <LOW> ] ) + ) . * ( . ) . * . *,在一个字符前至少包含一次小写字母的行,lines containing lowercase letters at least once before a character,. * ( ( [ <LET> ] ) + + ) . * ( . ) . * . *,0.7692307690000001,0.7533912759999999,14,0.39130434799999997,0.263157895,0.940992688,0.823166651,0.676064586,0.584133445,0.8888888890000001,0.8730158729999999,False,0.0,0.0,0.444444444,0.40740740700000005
13,p,plural,p,bug,bug,bug,,,,lines ending with words that contain only an uppercase letter,( . * ) ( \ b [ <CAP> ] \ b ),以仅包含大写字母的单词结尾的行,lines ending with words containing only capital letters,( . * ) ( [ <LET> ] ) +,0.68852459,0.654958713,6,0.739130435,0.6842105270000001,0.9420693440000001,0.8265138329999999,0.675995041,0.584035314,0.5555555560000001,0.49206349200000005,0.0001239772,0.000123977,0.000123977,0.277839766,0.229695751
14,p,,p,bug,correct,bug,,,,"lines with a lower-case letter , zero or greater times before a numeric character",( ( [ <LOW> ] ) * ) . * ( [ <NUM> ] ) . *,小写字母的行，在数字字符前零次或多次,"rows of lowercase letters , zero or more times before numeric characters",. * ( ( [ <LET> ] ) + * ) . * ( [ <NUM> ] ) + . * . *,0.740740741,0.7186436709999999,6,0.739130435,0.6842105270000001,0.935227658,0.805243932,0.675956125,0.583980402,0.6315789470000001,0.578947368,False,0.0,0.0,0.31578947399999996,0.27017543899999996
15,c,,None,correct,correct,correct,,,,lines not ending with a letter and not a lower-case letter,~ ( ( ( . * ) ( [ <LET> ] ) ) & ( [ <LOW> ] ) ),行不以字母结尾，而不是小写字母,"lines do not end with letters , not lowercase letters",~ ( ( . * ) ( ( [ <LET> ] ) + & ( [ <LET> ] ) + ) ),0.7241379309999999,0.698394203,9,0.608695652,0.52631579,0.9469457920000001,0.841674068,0.675799515,0.583759419,0.666666667,0.6190476189999999,0.0094339,0.0094339,0.0094339,0.33805028299999995,0.29392030199999997
16,p,plural,p,bug,bug,bug,,,,"lines with a number before either the string <M0> , the string <M1> , or the string <M2>",( [ <NUM> ] ) . * ( ( <M0> ) | ( <M1> ) | ( <M2> ) ) . *,在字符串<M0>，字符串<M1>或字符串<M2>之前带有数字的行,"lines with numbers before string <M0> , string <M1> or string <M2>","( [ <NUM> ] ) + . * ( ( <M0> ) { 2 , } ) . *",0.727272727,0.702217529,8,0.6521739129999999,0.578947369,0.9854842509999999,0.9614850659999999,0.675763711,0.5837088979999999,0.55,0.485714286,-1.0,0.0,0.0,0.275,0.226666667
17,p,plural,p,bug,bug,bug,,,,"lines with a letter before either the string <M0> , the string <M1> , or the string <M2>",( [ <LET> ] ) . * ( ( <M0> ) | ( <M1> ) | ( <M2> ) ) . *,在字符串<M0>，字符串<M1>或字符串<M2>之前带有字母的行,"lines with letters before string <M0> , string <M1> or string <M2>","( [ <LET> ] ) . * ( ( <M0> ) { 2 , } ) . *",0.727272727,0.702217529,8,0.6521739129999999,0.578947369,0.985577534,0.96177507,0.675763711,0.5837088979999999,0.6,0.542857143,0.0,0.0,0.0,0.3,0.253333333
18,c,,None,correct,correct,correct,,,,"strings not having a vowel , letters , or characters",~ ( ( [ <VOW> ] ) |( [ <LET> ] ) + | ( . ) + ),没有元音，字母或字符的字符串,"strings without vowels , letters or characters",~ ( ( [ <VOW> ] ) + | ( [ <LET> ] ) + ),0.75,0.7299366420000001,7,0.695652174,0.6315789479999999,0.911720548,0.73216342,0.675740656,0.5836763660000001,0.6875,0.642857143,1.0,1.0,1.0,0.84375,0.833333333
19,c,,None,correct,correct,correct,,,,lines starting with a letter before a character,( ( [ <LET> ] ) ( . * ) ) . * ( . ) . *,以字符前的字母开头的行,lines beginning with the letter before the character,( ( <M0> ) ( . * ) ) . * ( <M0> ) . *,0.7692307690000001,0.7533912759999999,0,1.0,1.0,0.985285237,0.960866357,0.675740656,0.5836763660000001,0.875,0.857142857,0.0,0.0,0.0,0.4375,0.4
20,c,,None,correct,correct,correct,,,,"lines arranged with the string <M0> and the string <M1> or the string <M2> , zero or more times",( ( ( <M0> ) & ( <M1> ) ) | ( <M2> ) ) *,字符串<M0>和字符串<M1>或字符串<M2>排列的行，零次或多次,"rows arranged by character string <M0> and character string <M1> or character string <M2> , zero or more times",( ( . * <M0> . * ) & ( <M2> ) ) *,0.745454545,0.7243928190000001,6,0.739130435,0.6842105270000001,0.9458873990000001,0.8383836640000001,0.6752822209999999,0.583029496,0.5,0.428571429,1.0,1.0,1.0,0.75,0.7333333329999999
