,Unnamed: 0,Initial_Seeds,Translated_Initial_Seeds,Mutants,Translated_Mutants,Translation_Label,Translation_Label_Remark,LEVEN_Score,BLEU_Score
0,0,"rows with words that contain a capital letter , zero or more times",包含零个或多个大写字母的单词的行,"rows with words what contain a capital letter , zero or more times",包含零个或多个大写字母的单词的行,bug,ambiguity,1.0,1.0
1,1,"lines containing only the string <M0> , 4 or more times",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 7 or more times",仅包含字符串<M0>的行，共7次或更多次,correct,,0.947368421,0.8492326640000001
2,2,"lines containing only the string <M0> , 4 or more times",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 9 or more times",仅包含字符串<M0>的行，9次或更多次,correct,,0.947368421,0.8522456709999999
3,3,"lines containing only the string <M0> , 4 or more times",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 1 or more times",仅包含字符串<M0>的行，1次或多次,correct,,0.894736842,0.7511573909999999
4,4,"lines containing only the string <M0> , 4 or more times",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 8 or more times",仅包含字符串<M0>的行，连续8次或更多次,correct,ambiguity,1.0,1.0
5,5,"lines containing only the string <M0> , 4 or more times",仅包含字符串<M0>的行，连续4次或更多次,"lines containing only the string <M0> , 3 or more times",仅包含字符串<M0>的行，3次或更多次,correct,,0.947368421,0.8522456709999999
6,6,"rows with the string <M0> or a vowel , 7 or more times",字符串<M0>或元音的行，连续7次或更多次,"rows with the string <M0> or a vowel , 9 or more times",字符串<M0>或元音的行，连续9次或更多次,bug,ambiguity,1.0,1.0
7,7,"rows with the string <M0> or a vowel , 7 or more times",字符串<M0>或元音的行，连续7次或更多次,"rows with the string <M0> or a vowel , 10 or more times",字符串<M0>或元音的行，连续10次或更多次,bug,,1.0,1.0
8,8,"rows with the string <M0> or a vowel , 7 or more times",字符串<M0>或元音的行，连续7次或更多次,"rows with the string <M0> or a vowel , 11 or more times",字符串<M0>或元音的行，连续11次或更多次,bug,,1.0,1.0
9,9,"rows with the string <M0> or a vowel , 7 or more times",字符串<M0>或元音的行，连续7次或更多次,"rows with the string <M0> or a vowel , 8 or more times",字符串<M0>或元音的行，连续8次或更多次,bug,,1.0,1.0
10,10,"rows with the string <M0> or a vowel , 7 or more times",字符串<M0>或元音的行，连续7次或更多次,"rows with the string <M0> or a vowel , 6 or more times",字符串<M0>或元音的行，连续6次或更多次,bug,ambiguity,1.0,1.0
11,11,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 1 or greater times",字数大于或等于1的行,bug,,0.25,6.223599999999998e-155
12,12,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 3 or greater times",具有3个或更多字符的单词的行,bug,ambiguity,0.916666667,0.903602004
13,13,"rows with words that have a character , 2 or greater times",包含2个或更多字符的单词的行,"rows with words that have a character , 4 or greater times",包含4个或更多字符的单词的行,bug,ambiguity,1.0,1.0
14,14,"lines arranged with a character before the string <M0> , 4 or greater times",在字符串<M0>之前用字符排列的行，超过4次,"lines arranged with a character before the string <M0> , 7 or greater times",在字符串<M0>之前的字符排列的行，连续7次或更多次,correct,,0.75,0.668078513
15,15,"lines arranged with a character before the string <M0> , 4 or greater times",在字符串<M0>之前用字符排列的行，超过4次,"lines arranged with a character before the string <M0> , 9 or greater times",在字符串<M0>之前的字符排列的行，为9次或更多次,correct,,0.7826086959999999,0.698299977
16,16,"lines arranged with a character before the string <M0> , 4 or greater times",在字符串<M0>之前用字符排列的行，超过4次,"lines arranged with a character before the string <M0> , 1 or greater times",在字符串<M0>之前的字符排列的行，1次或更多次,correct,,0.818181818,0.732356798
17,17,"lines arranged with a character before the string <M0> , 4 or greater times",在字符串<M0>之前用字符排列的行，超过4次,"lines arranged with a character before the string <M0> , 8 or greater times",在字符串<M0>之前的字符排列的行，为8次或更多次,correct,,0.7826086959999999,0.698299977
18,18,"lines arranged with a character before the string <M0> , 4 or greater times",在字符串<M0>之前用字符排列的行，超过4次,"lines arranged with a character before the string <M0> , 3 or greater times",在字符串<M0>之前用字符排列的行，超过3次,bug,,1.0,1.0
19,19,lines containing words that have starting with digits,包含以数字开头的单词的行,lines containing words what have starting with digits,包含以数字开头的单词的行,correct,,1.0,1.0
20,20,"lines preceded by a letter , 6 or more times",行首字母，至少6次,"lines preceded by a letter , 7 or more times",行首字母，7次或更多次,bug,ambiguity,0.666666667,0.48354474
21,21,"lines preceded by a letter , 6 or more times",行首字母，至少6次,"lines preceded by a letter , 9 or more times",行首字母，9次或更多次,bug,,0.666666667,0.48354474
22,22,"lines preceded by a letter , 6 or more times",行首字母，至少6次,"lines preceded by a letter , 10 or more times",行首字母，10次或更多次,bug,,0.6,0.421395295
23,23,"lines preceded by a letter , 6 or more times",行首字母，至少6次,"lines preceded by a letter , 12 or more times",每行以字母开头，12次或更多次,correct,ambiguity,0.384615385,3.37448e-78
24,24,"lines preceded by a letter , 6 or more times",行首字母，至少6次,"lines preceded by a letter , 11 or more times",行中以字母开头，11次或更多次,correct,,0.384615385,3.37448e-78
25,25,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",在大写字母前用元音排列的行，总计大于或等于6次,"lines arranged with a vowel before a capital letter , greater than or equal to 7 times in total",在大写字母前用元音排列的行，总计大于或等于7次,correct,,1.0,1.0
26,26,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",在大写字母前用元音排列的行，总计大于或等于6次,"lines arranged with a vowel before a capital letter , greater than or equal to 9 times in total",大写字母前用元音排列的行，总计大于或等于9倍,correct,,0.9090909090000001,0.90443366
27,27,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",在大写字母前用元音排列的行，总计大于或等于6次,"lines arranged with a vowel before a capital letter , greater than or equal to 10 times in total",大写字母前用元音排列的行，总计大于或等于10倍,correct,,0.9090909090000001,0.90443366
28,28,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",在大写字母前用元音排列的行，总计大于或等于6次,"lines arranged with a vowel before a capital letter , greater than or equal to 12 times in total",大写字母前用元音排列的行，总计大于或等于12倍,correct,,0.9090909090000001,0.90443366
29,29,"lines arranged with a vowel before a capital letter , greater than or equal to 6 times in total",在大写字母前用元音排列的行，总计大于或等于6次,"lines arranged with a vowel before a capital letter , greater than or equal to 11 times in total",大写字母前用元音排列的行，总计大于或等于11倍,correct,,0.9090909090000001,0.90443366
30,30,rows not having the string <M0> before a number,在数字前没有字符串<M0>的行,rows n't having the string <M0> before a number,在数字前没有字符串<M0>的行,bug,wrong mutants,1.0,1.0
31,31,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times",包含<M0>，字符或大写字母的单词的行，最多6次,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 7 times",包含<M0>，字符或大写字母的单词的行，最多7次,bug,ambiguity,1.0,1.0
32,32,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times",包含<M0>，字符或大写字母的单词的行，最多6次,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 9 times",包含<M0>，字符或大写字母的单词的行，最多9次,bug,,1.0,1.0
33,33,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times",包含<M0>，字符或大写字母的单词的行，最多6次,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 10 times",包含<M0>，字符或大写字母的单词的行，最多10次,bug,,1.0,1.0
34,34,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times",包含<M0>，字符或大写字母的单词的行，最多6次,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 12 times",包含单词<M0>，字符或大写字母的单词的行，最多12次,bug,,0.92,0.8837267320000001
35,35,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 6 times",包含<M0>，字符或大写字母的单词的行，最多6次,"lines with words that have either the string <M0> , characters , or an uppercase letter , up to 8 times",包含<M0>，字符或大写字母的单词的行，最多8次,bug,,1.0,1.0
36,36,rows not containing a number at least once,至少一次不包含数字的行,rows n't containing a number at least once,至少一次不包含数字的行,bug,wrong mutants,1.0,1.0
37,37,lines ending with a string that contains only a letter or a character,以仅包含字母或字符的字符串结尾的行,lines ending with a string what contains only a letter or a character,以只包含字母或字符的字符串结尾的行,correct,,0.9411764709999999,0.935506985
38,38,"lines containing a character , 6 or more times",包含一个字符的行，至少6次,"lines containing a character , 7 or more times",包含一个字符的行，连续7次或更多次,correct,,0.666666667,0.570349366
39,39,"lines containing a character , 6 or more times",包含一个字符的行，至少6次,"lines containing a character , 9 or more times",包含9个或更多字符的行,correct,ambiguity,0.454545455,0.293771678
40,40,"lines containing a character , 6 or more times",包含一个字符的行，至少6次,"lines containing a character , 10 or more times",包含一个字符的行，超过10次,bug,,0.833333333,0.7369231629999999
41,41,"lines containing a character , 6 or more times",包含一个字符的行，至少6次,"lines containing a character , 12 or more times",包含一个字符的行，超过12次,bug,,0.833333333,0.7369231629999999
42,42,"lines containing a character , 6 or more times",包含一个字符的行，至少6次,"lines containing a character , 11 or more times",包含一个字符的行，超过11次,bug,,0.833333333,0.7369231629999999
43,43,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times",行用小写字母或大写字母排列两次或以上,"lines arranged with a lower-case letter or a capitalized letter , 1 or greater times",行用小写字母或大写字母排列1次或更多次,correct,,0.882352941,0.7863986540000001
44,44,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times",行用小写字母或大写字母排列两次或以上,"lines arranged with a lower-case letter or a capitalized letter , 3 or greater times",行以小写字母或大写字母排列3次或更多次,correct,,0.8235294120000001,0.666805605
45,45,"lines arranged with a lower-case letter or a capitalized letter , 2 or greater times",行用小写字母或大写字母排列两次或以上,"lines arranged with a lower-case letter or a capitalized letter , 4 or greater times",行用小写字母或大写字母排列4次或更多次,correct,,0.882352941,0.7863986540000001
46,46,lines with words that end with the string <M0> or the string <M1>,单词以<M0>或<M1>结尾的行,lines with words what end with the string <M0> or the string <M1>,带有单词的行以字符串<M0>或字符串<M1>结尾,correct,ambiguity,0.6190476189999999,0.503288222
47,47,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 1 times",仅包含字符串<M0>的行，最多不超过1次,correct,,1.0,1.0
48,48,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 6 times",仅包含字符串<M0>的行，最多不超过6次,correct,,1.0,1.0
49,49,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 5 times",仅包含字符串<M0>的行，最多不超过5次,correct,,1.0,1.0
50,50,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 4 times",仅包含字符串<M0>的行，最多不超过4次,correct,,1.0,1.0
51,51,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 2 times",仅包含字符串<M0>的行，最多不超过2次,correct,,1.0,1.0
52,52,"lines with digits , 5 or more times",5位或以上的数字行,"lines with digits , 7 or more times",数字行，7次或以上,correct,,0.0,7.508649999999998e-78
53,53,"lines with digits , 5 or more times",5位或以上的数字行,"lines with digits , 9 or more times",9位或以上的数字行,bug,ambiguity,1.0,1.0
54,54,"lines with digits , 5 or more times",5位或以上的数字行,"lines with digits , 10 or more times",数字行，10次或更多,correct,,0.0,4.7976e-78
55,55,"lines with digits , 5 or more times",5位或以上的数字行,"lines with digits , 8 or more times",数字行，8次或更多,correct,,0.0,4.7976e-78
56,56,"lines with digits , 5 or more times",5位或以上的数字行,"lines with digits , 3 or more times",数字行，3次或更多,correct,,0.0,4.7976e-78
57,57,"lines not having a character , not an upper case letter , nor a lower-case letter",没有字符，没有大写字母或小写字母的行,"lines n't having a character , not an upper case letter , nor a lower-case letter",没有字符，大写字母或小写字母的行,bug,wrong mutants,0.8888888890000001,0.785629302
58,58,"lines not having a character , not an upper case letter , nor a lower-case letter",没有字符，没有大写字母或小写字母的行,"lines not having a character , n't an upper case letter , nor a lower-case letter",没有字符的行，既不是大写字母也不是小写字母,bug,wrong mutants,0.6,0.414524709
59,59,"lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词的行，总共2次或更多次,"lines with words what have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词行，总共2次或更多次,bug,,0.9523809520000001,0.868053815
60,60,"lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词的行，总共2次或更多次,"lines with words that have starting with a capitalized letter , 1 or more times in total",以大写字母开头的单词的行，总共1次或更多次,bug,ambiguity,1.0,1.0
61,61,"lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词的行，总共2次或更多次,"lines with words that have starting with a capitalized letter , 3 or more times in total",以大写字母开头的单词的行，总共3次或更多次,bug,,1.0,1.0
62,62,"lines with words that have starting with a capitalized letter , 2 or more times in total",以大写字母开头的单词的行，总共2次或更多次,"lines with words that have starting with a capitalized letter , 4 or more times in total",以大写字母开头的单词的行，总共4次以上,bug,,0.842105263,0.786235476
63,63,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 1 times",仅包含字符串<M0>的行，最多不超过1次,bug,,1.0,1.0
64,64,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 6 times",仅包含字符串<M0>的行，最多不超过6次,bug,,1.0,1.0
65,65,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 5 times",仅包含字符串<M0>的行，最多不超过5次,bug,,1.0,1.0
66,66,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 4 times",仅包含字符串<M0>的行，最多不超过4次,bug,,1.0,1.0
67,67,"lines not containing only the string <M0> , no more than 3 times",仅包含字符串<M0>的行，最多不超过3次,"lines not containing only the string <M0> , no more than 2 times",仅包含字符串<M0>的行，最多不超过2次,bug,ambiguity,1.0,1.0
68,68,"lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前至少6次,"lines with the string <M0> , 7 or more times before numbers",字符串<M0>的行，数字前7次或更多次,bug,,0.8235294120000001,0.758461582
69,69,"lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前至少6次,"lines with the string <M0> , 9 or more times before numbers",字符串<M0>的行，数字前9次或更多次,bug,,0.8235294120000001,0.758461582
70,70,"lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前至少6次,"lines with the string <M0> , 10 or more times before numbers",字符串<M0>的行，数字前10次或更多次,bug,,0.7777777779999999,0.71173451
71,71,"lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前至少6次,"lines with the string <M0> , 12 or more times before numbers",字符串<M0>的行，数字前12或更多次,bug,,0.8235294120000001,0.758461582
72,72,"lines with the string <M0> , 6 or more times before numbers",字符串<M0>的行，数字前至少6次,"lines with the string <M0> , 11 or more times before numbers",字符串<M0>的行，数字前11次或更多,bug,,0.7777777779999999,0.758461582
73,73,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,"lines arranged with the string <M0> before a string that is n't a vowel , 2 or more times",在不是元音的字符串之前，用字符串<M0>排列的行2次或更多次,bug,wrong mutants,1.0,1.0
74,74,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,"lines arranged with the string <M0> before a string that is not a vowel , 1 or more times",在不是元音的字符串之前，用字符串<M0>排列的行1次或更多次,correct,,0.9655172409999999,0.907448569
75,75,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,"lines arranged with the string <M0> before a string that is not a vowel , 3 or more times",在不是元音的字符串之前，用字符串<M0>排列的行3次或更多次,correct,,0.9655172409999999,0.907448569
76,76,"lines arranged with the string <M0> before a string that is not a vowel , 2 or more times",在不是元音的字符串之前用字符串<M0>排列的行2次或更多次,"lines arranged with the string <M0> before a string that is not a vowel , 4 or more times",在不是元音的字符串之前用字符串<M0>排列的行4次或更多次,correct,,1.0,1.0
77,77,"strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，6次或更多次,"strings preceded by the string <M0> , 7 or more times",字符串后跟字符串<M0>，连续7次或更多次,correct,,0.947368421,0.8522456709999999
78,78,"strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，6次或更多次,"strings preceded by the string <M0> , 9 or more times",字符串后跟字符串<M0>，9次或更多次,correct,,1.0,1.0
79,79,"strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，6次或更多次,"strings preceded by the string <M0> , 10 or more times",字符串后跟字符串<M0>，10次或更多次,correct,,1.0,1.0
80,80,"strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，6次或更多次,"strings preceded by the string <M0> , 12 or more times",字符串后跟字符串<M0>，超过12次,bug,,0.7777777779999999,0.757637442
81,81,"strings preceded by the string <M0> , 6 or more times",字符串后跟字符串<M0>，6次或更多次,"strings preceded by the string <M0> , 11 or more times",字符串后跟字符串<M0>，连续11次或更多次,correct,,0.9,0.806189863
82,82,lines starting with the string <M0> in front of a string that is not an uppercase letter,在不是大写字母的字符串前面以字符串<M0>开头的行,lines starting with the string <M0> in front of a string that is n't an uppercase letter,在不是大写字母的字符串前面以字符串<M0>开头的行,bug,wrong mutants,1.0,1.0
83,83,lines are not words that end with a lower-case letter,行不是以小写字母结尾的单词,lines are n't words that end with a lower-case letter,行不是以小写字母结尾的单词,bug,wrong mutants,1.0,1.0
84,84,lines are not words that end with a lower-case letter,行不是以小写字母结尾的单词,lines are not words what end with a lower-case letter,行不是单词，以小写字母结尾,bug,,0.818181818,0.701687939
85,85,"lines not having a letter , not a character , and not the string <M0>",行没有字母，字符而不是字符串<M0>,"lines not having a letter , n't a character , and not the string <M0>",行没有字母，不是字符，而不是字符串<M0>,bug,wrong mutants,0.947368421,0.8522456709999999
86,86,rows not having lettered words instead of the string <M0>,没有字母单词而不是字符串<M0>的行,rows n't having lettered words instead of the string <M0>,没有字母单词而不是字符串<M0>的行,bug,wrong mutants,1.0,1.0
87,87,"lines not having a lowercase letter , not a character , and not an upper case letter",没有小写字母，没有字符和大写字母的行,"lines not having a lowercase letter , n't a character , and not an upper case letter",没有小写字母，不是字符，也不是大写字母的行,bug,wrong mutants,0.75,0.593420774
88,88,"lines not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,"lines n't having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,bug,wrong mutants,1.0,1.0
89,89,"lines not having digits , not the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,"lines not having digits , n't the string <M0> , instead of a lower-case letter instead of the string <M1>",没有数字的行，不是字符串<M0>，而不是小写字母，而不是字符串<M1>,bug,wrong mutants,1.0,1.0
90,90,rows not having a capitalized letter at least once,至少一次没有大写字母的行,rows n't having a capitalized letter at least once,至少一次没有大写字母的行,bug,wrong mutants,1.0,1.0
91,91,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,"lines with a word that has a lower-case letter or an upper case letter , 1 or greater times",包含小写字母或大写字母的单词（大于等于1次）的行,bug,ambiguity,0.454545455,0.552806384
92,92,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,"lines with a word that has a lower-case letter or an upper case letter , 6 or greater times",带有6个或更多次小写字母或大写字母的单词的行,correct,ambiguity,1.0,1.0
93,93,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,"lines with a word that has a lower-case letter or an upper case letter , 5 or greater times",带有5个或更多次小写字母或大写字母的单词的行,correct,,1.0,1.0
94,94,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,"lines with a word that has a lower-case letter or an upper case letter , 4 or greater times",带有4个或更多小写字母或大写字母的单词的行,correct,,0.9523809520000001,0.8739351329999999
95,95,"lines with a word that has a lower-case letter or an upper case letter , 3 or greater times",带有3个或更多次小写字母或大写字母的单词的行,"lines with a word that has a lower-case letter or an upper case letter , 2 or greater times",带有2个或更多次小写字母或大写字母的单词的行,correct,,1.0,1.0
96,96,"lines not having a lower-case letter , not a letter , and not a numeric character",没有小写字母，没有字母和数字字符的行,"lines not having a lower-case letter , n't a letter , and not a numeric character",没有小写字母的行，不是字母，也不是数字字符,bug,wrong mutants,0.6,0.474100022
97,97,rows with words that have starting with lettered words at least one time,包含至少以字母开头的单词的行,rows with words what have starting with lettered words at least one time,带有单词的行至少以字母开头的单词,bug,ambiguity,0.642857143,0.821919825
98,98,"lines not having a number , not a vowel , and not a lower-case letter",没有数字，没有元音和没有小写字母的行,"lines not having a number , n't a vowel , and not a lower-case letter",没有数字，不是元音，也不是小写字母的行,bug,wrong mutants,0.7222222220000001,0.531258387
