ID,Label_On_Original_Evaluator1,Label_On_Mutants_Evaluator1,Label_On_Original_Evaluator2,Label_On_Mutants_Evaluator2,Remark_Evaluator2,Label_On_Original_Consistent,Label_On_Mutants_Consistent
1,correct,correct,correct,correct,,correct,correct
2,correct,bug,correct,bug,ambiguity,correct,bug
3,correct,correct,correct,correct,,correct,correct
4,correct,correct,correct,correct,,correct,correct
5,correct,correct,correct,correct,,correct,correct
6,correct,bug,correct,bug,,correct,bug
7,correct,correct,correct,correct,,correct,correct
8,correct,correct,correct,correct,,correct,correct
9,correct,correct,correct,correct,,correct,correct
10,correct,bug,correct,bug,ambiguity,correct,bug
11,correct,correct,correct,correct,,correct,correct
12,bug,correct,bug,correct,,bug,correct
13,correct,correct,correct,correct,example,correct,correct
14,correct,correct,correct,correct,,correct,correct
15,bug,bug,bug,bug,ambiguity,bug,bug
16,correct,correct,correct,correct,,correct,correct
17,correct,bug,correct,bug,,correct,bug
18,bug,correct,bug,correct,,bug,correct
19,correct,correct,correct,correct,,correct,correct
20,correct,bug,correct,bug,,correct,bug
21,correct,correct,correct,correct,ambiguity,correct,correct
22,correct,bug,correct,bug,,correct,bug
23,correct,correct,correct,correct,,correct,correct
24,correct,correct,correct,correct,,correct,correct
25,correct,correct,correct,correct,,correct,correct
26,correct,correct,correct,correct,,correct,correct
27,correct,bug,correct,bug,ambiguity,correct,bug
28,correct,correct,correct,correct,,correct,correct
29,correct,correct,correct,correct,ambiguity,correct,correct
30,correct,correct,correct,correct,,correct,correct
31,correct,bug,correct,correct,ambiguity,correct,correct
32,correct,correct,correct,correct,,correct,correct
33,correct,correct,correct,correct,,correct,correct
34,correct,correct,correct,correct,,correct,correct
35,correct,correct,correct,correct,,correct,correct
36,bug,bug,bug,bug,ambiguity,bug,bug
37,correct,correct,correct,correct,,correct,correct
38,correct,correct,correct,correct,,correct,correct
39,correct,correct,correct,correct,,correct,correct
40,bug,bug,bug,bug,,bug,bug
41,bug,bug,bug,bug,ambiguity,bug,bug
42,correct,correct,correct,correct,,correct,correct
43,correct,correct,correct,correct,,correct,correct
44,correct,correct,correct,correct,,correct,correct
45,correct,correct,correct,correct,,correct,correct
46,correct,bug,correct,bug,,correct,bug
47,correct,correct,correct,correct,,correct,correct
48,bug,correct,bug,correct,,bug,correct
49,correct,correct,bug,bug,ambiguity,bug,bug
50,correct,correct,correct,correct,,correct,correct
51,correct,correct,correct,correct,ambiguity,correct,correct
52,bug,correct,bug,correct,ambiguity,bug,correct
53,correct,correct,correct,correct,,correct,correct
54,correct,correct,correct,correct,,correct,correct
55,correct,correct,correct,correct,,correct,correct
56,correct,correct,correct,correct,,correct,correct
57,correct,correct,correct,correct,,correct,correct
58,correct,bug,correct,bug,ambiguity,correct,bug
59,correct,correct,correct,correct,,correct,correct
60,correct,correct,correct,correct,,correct,correct
61,correct,correct,correct,correct,,correct,correct
62,correct,correct,correct,correct,,correct,correct
63,correct,correct,correct,correct,,correct,correct
64,correct,correct,correct,bug,ambiguity,correct,bug
65,correct,correct,correct,correct,,correct,correct
66,correct,bug,correct,bug,,correct,bug
67,correct,correct,correct,correct,,correct,correct
68,correct,correct,correct,correct,,correct,correct
69,bug,correct,bug,correct,ambiguity,bug,correct
70,bug,bug,bug,bug,,bug,bug
71,correct,correct,correct,correct,ambiguity,correct,correct
72,correct,correct,correct,correct,,correct,correct
73,correct,correct,correct,correct,,correct,correct
74,correct,correct,correct,correct,,correct,correct
75,correct,correct,correct,correct,,correct,correct
76,correct,correct,correct,correct,,correct,correct
77,correct,correct,correct,correct,,correct,correct
78,correct,correct,correct,correct,,correct,correct
79,correct,bug,correct,bug,,correct,bug
80,correct,correct,correct,correct,ambiguity,correct,correct
81,correct,correct,correct,correct,,correct,correct
82,correct,bug,correct,bug,,correct,bug
83,correct,correct,correct,correct,,correct,correct
84,correct,correct,correct,correct,,correct,correct
85,bug,bug,correct,correct,ambiguity,bug,bug
86,correct,correct,correct,correct,,correct,correct
87,correct,correct,correct,correct,ambiguity,correct,correct
88,correct,correct,correct,correct,,correct,correct
89,correct,correct,correct,bug,ambiguity,correct,bug
90,correct,correct,correct,correct,example,correct,correct
91,correct,bug,correct,bug,example,correct,bug
92,correct,correct,correct,correct,,correct,correct
93,correct,correct,correct,correct,,correct,correct
94,correct,bug,correct,bug,,correct,bug
95,correct,bug,correct,bug,example,correct,bug
96,correct,bug,correct,bug,ambiguity,correct,bug
97,correct,correct,correct,correct,,correct,correct
98,correct,correct,correct,correct,,correct,correct
99,bug,bug,bug,bug,ambiguity,bug,bug
100,correct,correct,correct,correct,ambiguity,correct,correct
101,correct,bug,correct,bug,,correct,bug
102,correct,correct,correct,correct,ambiguity,correct,correct
103,correct,correct,correct,bug,wrong_mutants,correct,bug
104,correct,bug,correct,bug,,correct,bug
105,correct,correct,correct,correct,,correct,correct
106,correct,bug,correct,bug,ambiguity,correct,bug
107,correct,correct,correct,correct,,correct,correct
108,correct,correct,correct,correct,,correct,correct
109,bug,bug,bug,bug,ambiguity,bug,bug
110,correct,correct,correct,correct,,correct,correct
111,correct,bug,correct,bug,,correct,bug
112,bug,bug,bug,bug,ambiguity,bug,bug
113,correct,correct,correct,correct,,correct,correct
114,bug,bug,bug,correct,ambiguity,bug,bug
115,correct,correct,correct,correct,,correct,correct
116,correct,correct,correct,correct,,correct,correct
117,correct,correct,correct,correct,,correct,correct
118,correct,correct,correct,correct,,correct,correct
119,correct,bug,correct,bug,,correct,bug
120,correct,correct,correct,correct,,correct,correct
121,correct,correct,correct,correct,ambiguity,correct,correct
122,bug,bug,bug,bug,ambiguity,bug,bug
123,bug,correct,bug,correct,,bug,correct
124,correct,correct,correct,correct,,correct,correct
