,No,Initial_Seeds,Mutants,Regex (Mutants),Translated_Mutants,Regex (Translated_Mutants),Translation_Label,Mutants (RTT Translation),LEVEN,DFA,SBERT,BW_Label
0,1.0,lines containing letters in front of the string <M0> or numbers,lines made up of letters in front of the string <M0> or numbers,. * (( [ <LET> ] ) + . * ( <M0> ) . * ) | ( [ <NUM> ] ) + . *,由字符串<M0>前面的字母或数字组成的行,. * ( ( [ <LET> ] ) + | ( [ <NUM> ] ) + ) . * ( <M0> ) . * . *,correct,a line consisting of letters or numbers before the string <M0>,0.545454545,0.153576,0.9620113859999999,correct
1,2.0,lines containing letters in front of the string <M0> or numbers,strings containing letters in front of the string <M0> or numbers,. * (( [ <LET> ] ) + . * ( <M0> ) . * ) | ( [ <NUM> ] ) + . *,在字符串<M0>前面包含字母的字符串或数字,( ( . * ) ( [ <LET> ] ) ) | ( ( [ <CAP> ] ) . * ( <M0> ) . * ),correct,a string or number containing letters before the string <M0>,0.454545455,0.153576,0.969542232,correct
2,3.0,"lines with an upper case letter , 0 or more times","lines arranged with an upper case letter , 0 or more times",( [ <CAP> ] ) *,行以大写字母排列，0次或更多次,~ ( ( [ <LET> ] ) + * ),correct,"rows are arranged in capital letters , 0 or more times",0.375,False,0.80770625,correct
3,4.0,"lines with an upper case letter , 0 or more times","lines with an upper case letter , 0 or more times in total",( [ <CAP> ] ) *,大写字母的行，总共0次或多次,. * ( [ <LET> ] ) + * . *,bug,"lines of capital letters , 0 or more times in total",0.333333333,False,0.884122895,correct
4,5.0,"rows with words that contain a capital letter , zero or more times",rows with words that contain a capital letter (zero or more times),\ b ( . * [ <CAP> ] . * ) * \ b,包含大写字母的单词的行（零次或多次）,. * ( [ <LET> ] ) + * . *,bug,"lines of words containing capital letters , zero or more times",0.2,False,0.885958072,correct
5,6.0,"rows with words that contain a capital letter , zero or more times","rows with words that contain a capital letter , 0 or more times",\ b ( . * [ <CAP> ] . * ) * \ b,包含0个或更多次大写字母的单词的行,. * \ b [ <LET> ] * . * \ b,bug,lines containing words with 0 or more capital letters,0.5,0.214285,0.89863376,correct
6,7.0,"lines with a letter before either the string <M0> , the string <M1> , or the string <M2>","rows with a letter before either the string <M0> , the string <M1> , or the string <M2>",( [ <LET> ] ) . * ( ( <M0> ) | ( <M1> ) | ( <M2> ) ) . *,在字符串<M0>，字符串<M1>或字符串<M2>之前带有字母的行,"( [ <LET> ] ) . * ( ( <M0> ) { 2 , } ) . *",correct,"lines with letters before the string <M0> , string <M1> or string <M2>",0.6,0.0,0.964540007,correct
7,8.0,"lines with a letter before either the string <M0> , the string <M1> , or the string <M2>","lines with letters before either the string <M0> , the string <M1> , or the string <M2>",( [ <LET> ] ) . * ( ( <M0> ) | ( <M1> ) | ( <M2> ) ) . *,在字符串<M0>，字符串<M1>或字符串<M2>之前的字母行,( ( <M2> ) . * ( <M0> ) . * ) | ( ( <M0> ) | ( <M1> ) ),bug,"the letter line before the string <M0> , string <M1> or string <M2>",0.5,0.0002946376,0.987353675,correct
8,9.0,lines arranged with an uppercase letter then a vowel before a character,lines arranged with an uppercase letter then a vowel before characters,( [ <CAP> ] . * [ <VOW> ] . * ) . * ( . ) + . *,在字符前用大写字母和元音排列的行,( ( [ <LET> ] ) + & ( [ <VOW> ] ) + ) . * ( . ) + . *,bug,lines arranged with capital letters and vowels before characters,0.578947368,-1.0,0.9027860990000001,correct
9,10.0,"rows with the string <M0> or a vowel , 7 or more times","rows with the string <M0> or a vowel , up to 7 times","( ( <M0> ) | ( [ <VOW> ] ) ) { , 7 }",字符串<M0>或元音的行，最多7次,"( ( ~ ( <M0> ) ) | ( [ <VOW> ] ) ) { , 7 }",correct,"string <M0> or vowel line , up to 7 times",0.7692307690000001,1.0,0.955880501,correct
